               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
45,0.040046,0.027612,0.0042132,0.76876,0.61375,0.71659,0.37124,0.041437,0.025701,0.0075507,0.005644,0.005644,0.005644
46,0.040021,0.027117,0.0043174,0.6175,0.71093,0.69767,0.36405,0.041324,0.026054,0.0071606,0.005545,0.005545,0.005545
47,0.039854,0.027493,0.0043109,0.73009,0.66514,0.72607,0.40083,0.041534,0.025811,0.0071494,0.005446,0.005446,0.005446
48,0.039624,0.027803,0.004162,0.59385,0.76367,0.71961,0.37897,0.041049,0.025668,0.0069919,0.005347,0.005347,0.005347
49,0.039176,0.027542,0.0037403,0.64509,0.76617,0.73364,0.38721,0.040948,0.025803,0.006634,0.005248,0.005248,0.005248
50,0.038856,0.027316,0.0037989,0.69083,0.71211,0.71704,0.37691,0.04112,0.02565,0.0076332,0.005149,0.005149,0.005149
51,0.038615,0.026919,0.0038302,0.70547,0.73767,0.73279,0.38189,0.040729,0.025777,0.0066695,0.00505,0.00505,0.00505
52,0.03863,0.027062,0.003849,0.61438,0.73138,0.71901,0.37944,0.040408,0.02553,0.0068302,0.004951,0.004951,0.004951
53,0.038264,0.026701,0.0036207,0.727,0.70188,0.72273,0.37708,0.040835,0.02563,0.0081849,0.004852,0.004852,0.004852
54,0.038056,0.026927,0.0037446,0.71503,0.72222,0.73051,0.38895,0.040315,0.025581,0.0066633,0.004753,0.004753,0.004753
55,0.037792,0.02708,0.0034416,0.75787,0.70595,0.73552,0.38839,0.040084,0.025679,0.0070951,0.004654,0.004654,0.004654
56,0.037697,0.026768,0.0034934,0.67772,0.71286,0.73341,0.37916,0.040273,0.025492,0.0074997,0.004555,0.004555,0.004555
57,0.037587,0.026602,0.0034747,0.77854,0.68041,0.7326,0.38848,0.040085,0.025691,0.0076674,0.004456,0.004456,0.004456
58,0.037513,0.026213,0.0034037,0.73161,0.71148,0.72826,0.40019,0.039888,0.025046,0.0079496,0.004357,0.004357,0.004357
59,0.037374,0.025712,0.0034457,0.80011,0.65584,0.74284,0.40202,0.040024,0.025089,0.0068983,0.004258,0.004258,0.004258
60,0.036818,0.026009,0.003337,0.76911,0.68504,0.73433,0.39574,0.039829,0.025408,0.0072542,0.004159,0.004159,0.004159
61,0.036623,0.026328,0.0030014,0.79604,0.6548,0.74348,0.39936,0.040003,0.025553,0.0077763,0.00406,0.00406,0.00406
62,0.036454,0.026171,0.0031077,0.77543,0.67771,0.74793,0.40363,0.039567,0.025341,0.0071125,0.003961,0.003961,0.003961
63,0.036469,0.025887,0.0030827,0.74193,0.69168,0.75046,0.41243,0.040135,0.025414,0.0076767,0.003862,0.003862,0.003862
64,0.036211,0.025798,0.0030478,0.74054,0.69612,0.74153,0.40881,0.040128,0.025455,0.0070838,0.003763,0.003763,0.003763
65,0.035939,0.025411,0.0029853,0.75694,0.72553,0.76812,0.4154,0.039463,0.025357,0.0065963,0.003664,0.003664,0.003664
66,0.035936,0.025477,0.0028487,0.7097,0.7262,0.73273,0.39828,0.039708,0.025291,0.0067578,0.003565,0.003565,0.003565
67,0.035468,0.024887,0.0027729,0.80034,0.66544,0.74873,0.40231,0.039758,0.025436,0.0066844,0.003466,0.003466,0.003466
68,0.035597,0.025714,0.0028361,0.83239,0.6918,0.7536,0.41195,0.038977,0.025086,0.0075076,0.003367,0.003367,0.003367
69,0.035569,0.025862,0.0028989,0.72128,0.76068,0.77344,0.40927,0.039,0.025349,0.0069785,0.003268,0.003268,0.003268
70,0.034838,0.02468,0.0028654,0.71907,0.76446,0.76837,0.42344,0.038885,0.025435,0.0068745,0.003169,0.003169,0.003169
71,0.03499,0.025206,0.0025956,0.7779,0.69497,0.7666,0.4242,0.03906,0.025251,0.0074312,0.00307,0.00307,0.00307
72,0.034744,0.025169,0.0027996,0.81032,0.68574,0.7618,0.41357,0.039042,0.025228,0.0074854,0.002971,0.002971,0.002971
73,0.034923,0.024883,0.0027702,0.78927,0.69718,0.76232,0.41982,0.038995,0.025159,0.0069488,0.002872,0.002872,0.002872
74,0.034449,0.02466,0.0025273,0.80172,0.67828,0.75702,0.42452,0.038823,0.025206,0.0073368,0.002773,0.002773,0.002773
75,0.034182,0.024455,0.0024031,0.75806,0.69899,0.76393,0.43241,0.038974,0.025243,0.0076485,0.002674,0.002674,0.002674
76,0.034072,0.024826,0.0023514,0.7468,0.7059,0.74506,0.42774,0.038587,0.025197,0.00734,0.002575,0.002575,0.002575
77,0.033715,0.024691,0.0025358,0.76589,0.7038,0.75952,0.42598,0.038711,0.025259,0.0072604,0.002476,0.002476,0.002476
78,0.033282,0.024292,0.0023973,0.72498,0.7331,0.75476,0.43553,0.03859,0.025329,0.0074228,0.002377,0.002377,0.002377
79,0.033466,0.024712,0.002277,0.76896,0.69954,0.76115,0.43606,0.038365,0.025227,0.0075651,0.002278,0.002278,0.002278
80,0.033651,0.024349,0.0023391,0.8048,0.69177,0.75118,0.42832,0.03852,0.025152,0.0070294,0.002179,0.002179,0.002179
81,0.032992,0.023748,0.0022997,0.77081,0.70416,0.76024,0.43363,0.038474,0.025106,0.007388,0.00208,0.00208,0.00208
82,0.033292,0.024063,0.0024141,0.76094,0.71424,0.75741,0.43294,0.038545,0.025308,0.0071757,0.001981,0.001981,0.001981
83,0.032759,0.023909,0.0023723,0.73162,0.72613,0.74318,0.42075,0.038633,0.025443,0.0073779,0.001882,0.001882,0.001882
84,0.032761,0.023882,0.0022169,0.79307,0.68261,0.75305,0.43259,0.038451,0.025509,0.0072895,0.001783,0.001783,0.001783
85,0.032813,0.023514,0.0023554,0.77247,0.71046,0.74938,0.4226,0.038486,0.025522,0.007288,0.001684,0.001684,0.001684
86,0.032575,0.023754,0.0022757,0.78557,0.67637,0.74495,0.42639,0.038424,0.025588,0.0075059,0.001585,0.001585,0.001585
87,0.031967,0.023379,0.0020209,0.766,0.70826,0.75496,0.42578,0.038128,0.025551,0.0071101,0.001486,0.001486,0.001486
88,0.031796,0.023442,0.0020947,0.7565,0.73418,0.77203,0.43735,0.038192,0.025524,0.0072769,0.001387,0.001387,0.001387
89,0.031963,0.023377,0.0020642,0.78457,0.72234,0.76265,0.43389,0.037993,0.025565,0.0071929,0.001288,0.001288,0.001288
90,0.031648,0.023651,0.0019362,0.78734,0.71364,0.75378,0.42872,0.038092,0.0256,0.0073151,0.001189,0.001189,0.001189
91,0.031526,0.023151,0.0020137,0.76917,0.75645,0.76838,0.43338,0.038112,0.025608,0.007582,0.00109,0.00109,0.00109
92,0.03125,0.023238,0.00211,0.80291,0.68382,0.76135,0.43535,0.037941,0.025657,0.0073903,0.000991,0.000991,0.000991
93,0.031103,0.02324,0.0018891,0.7472,0.77463,0.7619,0.43126,0.037849,0.025605,0.0075605,0.000892,0.000892,0.000892
94,0.031064,0.022819,0.0019191,0.75561,0.76351,0.77113,0.44234,0.037943,0.025609,0.0078145,0.000793,0.000793,0.000793
95,0.030749,0.022973,0.0018442,0.79476,0.70135,0.76609,0.43766,0.038041,0.025579,0.007793,0.000694,0.000694,0.000694
96,0.030822,0.022872,0.0018251,0.75836,0.75509,0.77777,0.44389,0.037967,0.025584,0.0074683,0.000595,0.000595,0.000595
97,0.03069,0.022817,0.0017513,0.79909,0.69994,0.76744,0.44091,0.037858,0.025601,0.0076601,0.000496,0.000496,0.000496
98,0.03053,0.022775,0.0017543,0.76154,0.7643,0.76377,0.43195,0.037753,0.025653,0.0077234,0.000397,0.000397,0.000397
99,0.030367,0.02236,0.0017537,0.7905,0.75175,0.77694,0.44073,0.037825,0.025698,0.0077281,0.000298,0.000298,0.000298
,,,,precision,recall,mAP_0.5,,,,,,,
